Rank,Syndicate,Wins,Losses,Points,,,,,
146,Ronin Kings,9,7,139323,,,,,
147,YouAintReady,19,10,137319,,,,,
148,Knock Em Dead,22,4,136968,,,,,
149,DEADicated,15,11,136375,,,,,
150,COCAINE GANG,18,6,136328,,,,,
151,Dutch040,14,13,136232,,,,,
152,Friends Stand United,10,10,134086,,,,,
153,DJ DESTROYERS,21,4,134038,,,,,
154,ChaoSstreeT,18,10,133448,,,,,
155,Juggalo Life,10,8,133358,,,,,
156,Z Warriors,24,9,133281,,,,,
157,Just Girls,20,15,132791,,,,,
158,Elite Shooters,25,10,132268,,,,,
159,El Muerte Cartel,10,2,131219,,,,,
160,The Davenport Crew,18,1,129883,,,,,
161,District One,7,19,129751,,,,,
162,Horsemen,22,8,129709,,,,,
163,Team xHD,22,5,128987,,,,,
164,Lawless,16,6,128866,,,,,
165,Dharan Empire,16,8,128231,,,,,
166,Rehab,11,9,127463,,,,,
167,The Underdogs,15,1,126936,,,,,
168,Crushing Mob,21,13,126119,,,,,
169,DutchClan,10,9,126074,,,,,
170,KKK,21,6,125711,,,,,
171,Italian Knights,14,18,125585,,,,,
172,Smokin Aces,17,12,124792,,,,,
173,D34D 3ND,19,6,124697,,,,,
174,Dutch Force,13,20,124263,,,,,
175,187 Crew,19,8,124152,,,,,
176,Occultus,17,8,124025,,,,,
177,FREEBASE,15,6,123219,,,,,
178,D O S,26,17,122187,,,,,
179,HSI13,15,7,122088,,,,,
180,The VIKINGS,11,9,121945,,,,,
181,DEATH DEALERS,13,9,121350,,,,,
182,Utf,18,4,121248,,,,,
183,Pappas Syndicate,11,9,121157,,,,,
184,Guerilla Mobb,26,7,120886,,,,,
185,Those Gangstazzz,9,13,120627,,,,,
186,Riders,19,7,119777,,,,,
187,Atheist Legacy,13,6,119669,,,,,
188,Fallen Angel,21,26,119426,,,,,
189,Phoenix Corporation,12,10,119402,,,,,
190,Blades Of Steel,17,16,119269,,,,,
191,Shadows,13,15,118921,,,,,
192,Blood Oath,15,14,118306,,,,,
193,The Canadian Army,9,22,118001,,,,,
194,Undertakers,22,10,117658,,,,,
195,Detroit Demons,15,7,116870,,,,,
196,Coon And Friends,27,15,116377,,,,,
197,Legacies,17,4,115749,,,,,
198,Crimson Squad,10,7,114986,,,,,
199,Gasail Cartel,17,10,114353,,,,,
200,League Of Shadows,16,8,114318,,,,,
201,Rampant Lions,18,8,114300,,,,,
202,Cocaine Cowboys,17,14,113990,,,,,
203,Band Of Misfitz,15,9,113533,,,,,
204,N4 GHOST,12,4,113391,,,,,
205,Soul Society,15,9,113295,,,,,
206,Scholas Squad,23,2,112966,,,,,
207,Molly World,26,9,112519,,,,,
208,MURDER 1NC,11,8,112192,,,,,
209,Tusken Raiders,13,6,111830,,,,,
210,FIRST 48,29,4,111477,,,,,
211,DGK ALL DAY,18,7,111193,,,,,
212,Vatonage,16,2,111135,,,,,
213,DEMONS LAW,30,4,110943,,,,,
214,SYNERGY,19,7,110224,,,,,
215,Decapitators,11,21,109911,,,,,
216,NOTORIOUS THUGS,13,9,109868,,,,,
217,Underworld 670,12,11,109838,,,,,
218,Mikkkkkkkkkkkkkkkkkk,16,16,109696,,,,,
219,MERCENARIES OF DEATH,18,21,109664,,,,,
220,stsivitkcaH,12,7,109483,,,,,
221,The Other Guys,15,17,109451,,,,,
222,Criminals,9,4,109413,,,,,
223,Deadman Soldierz,20,9,109395,,,,,
224,Yakuza,15,30,109352,,,,,
225,Devil Knights,13,7,109299,,,,,
226,Demonios LATINOS,7,7,109216,,,,,
227,Gangsters Paradise,14,12,109116,,,,,
228,Scorpion Hybrids,18,3,108034,,,,,
229,Ghost,20,19,107925,,,,,
230,Olympus,15,1,107712,,,,,
231,Wolves,16,10,107682,,,,,
232,Syndicate Of Pain,13,16,107550,,,,,
233,Commence,14,11,107480,,,,,
234,REAPER KNIGHTS,25,7,106238,,,,,
235,London Gangsters,11,7,106201,,,,,
236,Bloody Fangs,14,0,105731,,,,,
237,Most Hated,14,17,105622,,,,,
238,Team Holland,18,16,105595,,,,,
239,Capo Di Tutti Capi,7,9,105555,,,,,
240,Quebec Inc,28,4,105532,,,,,
241,Doofy,31,6,105468,,,,,
242,Black DragonS,23,10,105122,,,,,
243,Killswitch,20,4,105117,,,,,
244,The Bro Show,15,11,105082,,,,,
245,Slice And Dice,14,5,105034,,,,,
246,ARCHANGELS,6,18,104751,,,,,
247,Menace 2 Society,31,16,104321,,,,,
248,420 Smokers,11,14,104125,,,,,
249,Bang Bang,16,16,103986,,,,,
250,The Nexus,11,1,103787,,,,,
,,,,,,,,,
,,,,,,,,,
