Track,Car,Time of Day,Time Lapse,Cloud Cover,Precipitation,Finish Time,Sector 1,Sector 2,Sector 3,Date of Race,Time of Race
Lytton,Ferrari 430 Scuderia,14:00,1,Clear,Dry,03:27.202,01:13.418,01:13.597,01:00.187,2015-05-13,19:02
Lytton (Reverse),Ferrari 430 Scuderia,14:00,1,Clear,Dry,03:09.798,01:08.069,01:00.021,01:01.708,2015-05-15,13:57
Lytton (Reverse),Ferrari 430 Scuderia,14:00,1,Clear,Dry,03:12.999,01:09.063,01:03.072,01:00.864,2015-05-15,13:53
Maplewood 1,Audi A1 Quattro,14:00,1,Clear,Dry,01:03.0,00:16.1,00:25.3,00:21.7,2014-12-30,13:53
Maplewood 1,Audi A1 Quattro,14:00,1,Clear,Dry,01:05.0,00:17.0,00:25.1,00:22.9,2014-12-30,13:47
Munnar,Volkswagen Golf GTI,19:00,1,Clear,Dry,04:10.7,01:24.9,01:20.2,01:25.6,2014-12-26,15:09
Nilgiri Hills (Reverse),Pagani Huayra,18:00,45,Clear,Dry,03:06.937,00:54.437,01:07.856,01:04.644,2015-03-24,22:13
Old Town 01,Renault Clio RS,14:00,1,Clear,Dry,01:08.595,00:24.112,00:19.791,00:24.692,2016-11-23,07:44
Old Town 03,Renault DeZir DRIVECLUB Edition,14:00,1,Clear,Dry,0:53.429,0:17.576,0:19.970,0:15.883,2016-11-27,11:15
Oliver's Landing,Audi TT RS Coupe Plus,13:00,1,Clear,Dry,01:19.341,00:24.921,00:27.475,00:26.945,2015-03-14,12:09
Oliver's Landing,Audi A1 Quattro,14:00,1,Stormy,Heavy,01:34.390,00:29.096,00:32.625,00:32.669,2015-03-04,20:32
Taapaca,Peugeot Onyx Concept,14:00,1,Clear,Dry,03:23.536,01:11.684,01:08.023,01:03.829,2015-05-10,17:03
Takahagi Hills,Savage Rivale GTR-S,12:00,15,Clear,Dry,01:59.298,00:42.048,00:36.330,00:40.920,2015-03-07,21:32
Takahagi Hills,Savage Rivale GTR-S,12:00,15,Clear,Dry,02:03.619,00:43.982,00:37.811,00:41.826,2015-03-07,21:27
