Mission,Difficulty,Time,Enemy Combat Alerts,Kills,Prisoners Rescued,Helicopters Lost,Retries,No Reflex,Mission Specific,Score,Rank
Ground Zeroes,Normal,112:30.281 (8250),0 (5250),10 (-2000),6 (21000),,4 (-1200),0,0,313000,B
Eliminate the Renegade Threat,Normal,11:25.964 (28280),1 (-600),8 (-1600),0 (0),0 (0),0 (3750),0,0,29830,B
Intel Operative Rescue,Normal,11:03.758 (23962),,1 (-200),,,1 (-300),,,23462,S
Classified Intel Acquisition,Normal,7:33.292 (36205),0 (6000),0 (2000),0 (0),0 (0),0 (3000),6000,,53205,S
Destroy the Anti-Air Emplacements,Normal,30:59.089 (11964),0 (8250),4 (-800),4 (14000),0 (0),5 (-1500),0,65000,38414,A
Deja-Vu,Normal,30:20.265 (4300),0 (3000),8 (-1600),,0 (0),0 (3000),0,7 (35000),43700,B
Ground Zeroes,Normal,132:41.123 (2195),0 (5250),36 (-7200),7 (24500),,3 (-900),0,3500,27345,B
